profile,basis,b_angstrom,temperature,removal_steps,radius,intact,removed,mismatched_return,correct_return,causal_margin,causal_pass,mismatch_overlap
6-31g_b0.8,6-31g,0.8,0.002,40,0.15,0.811875,0.180625,0.030625,0.8274999999999999,0.63125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,40,0.25,0.94875,0.28687500000000005,0.20875,0.97375,0.661875,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,40,0.35,0.981875,0.38375000000000004,0.5162500000000001,0.99375,0.46562499999999996,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,40,0.45,0.993125,0.48875,0.7481249999999999,1.0,0.2450000000000001,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.002,40,0.55,0.99875,0.591875,0.845,1.0,0.15375000000000005,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,10,0.15,0.63375,0.180625,0.07375000000000001,0.636875,0.453125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,10,0.25,0.858125,0.28687500000000005,0.234375,0.8525,0.565625,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,10,0.35,0.929375,0.38375000000000004,0.48312499999999997,0.925,0.4418750000000001,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,10,0.45,0.9668749999999999,0.48875,0.7193750000000001,0.965,0.24562499999999987,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,10,0.55,0.989375,0.591875,0.860625,0.984375,0.12375000000000003,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,20,0.15,0.63375,0.180625,0.0675,0.6256250000000001,0.44500000000000006,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,20,0.25,0.858125,0.28687500000000005,0.213125,0.8418749999999999,0.5549999999999999,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,20,0.35,0.929375,0.38375000000000004,0.41000000000000003,0.92125,0.51125,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,20,0.45,0.9668749999999999,0.48875,0.60375,0.95625,0.35250000000000004,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,20,0.55,0.989375,0.591875,0.733125,0.975,0.24187499999999995,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,40,0.15,0.63375,0.180625,0.08,0.620625,0.43999999999999995,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,40,0.25,0.858125,0.28687500000000005,0.246875,0.8474999999999999,0.5606249999999999,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,40,0.35,0.929375,0.38375000000000004,0.4618749999999999,0.938125,0.4675,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,40,0.45,0.9668749999999999,0.48875,0.640625,0.96875,0.32624999999999993,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.004,40,0.55,0.989375,0.591875,0.7618750000000001,0.9837499999999999,0.22187499999999982,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,10,0.15,0.49312500000000004,0.180625,0.144375,0.47562499999999996,0.29499999999999993,True,0.1093895984264179
6-31g_b0.8,6-31g,0.8,0.008,10,0.25,0.7081249999999999,0.28687500000000005,0.301875,0.6968749999999999,0.3949999999999999,True,0.1093895984264179
