basis,mode,a_angstrom,b_angstrom,energy_hartree
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.1999999999999997,-0.7825095215644993
sto-3g,without_edge_01,0.8999999999999999,1.1999999999999997,-1.4916661034181558
sto-3g,full,0.8999999999999999,1.2999999999999998,-1.7250252870287364
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.2999999999999998,-0.8300155571786396
sto-3g,without_edge_01,0.8999999999999999,1.2999999999999998,-1.4774636760147208
sto-3g,full,0.8999999999999999,1.4,-1.7361775217149966
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.4,-0.8650728445798932
sto-3g,without_edge_01,0.8999999999999999,1.4,-1.4638067065703697
sto-3g,full,0.8999999999999999,1.4999999999999998,-1.7417816826473613
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.4999999999999998,-0.8906250147622283
sto-3g,without_edge_01,0.8999999999999999,1.4999999999999998,-1.4514398280575662
sto-3g,full,0.8999999999999999,1.5999999999999996,-1.7435782477181476
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.5999999999999996,-0.9091130890304884
sto-3g,without_edge_01,0.8999999999999999,1.5999999999999996,-1.4406451619146514
sto-3g,full,0.8999999999999999,1.6999999999999997,-1.7428352320085096
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.6999999999999997,-0.9223909033493638
sto-3g,without_edge_01,0.8999999999999999,1.6999999999999997,-1.431455095551554
sto-3g,full,0.8999999999999999,1.7999999999999998,-1.7404716019773874
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.7999999999999998,-0.9318539507554648
sto-3g,without_edge_01,0.8999999999999999,1.7999999999999998,-1.4237810666783792
sto-3g,full,0.8999999999999999,1.8999999999999997,-1.7371475238683116
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.8999999999999997,-0.9385438742826309
sto-3g,without_edge_01,0.8999999999999999,1.8999999999999997,-1.417479314963583
sto-3g,full,0.8999999999999999,1.9999999999999996,-1.7333305194921738
sto-3g,one_electron_cross_deleted,0.8999999999999999,1.9999999999999996,-0.9432329472809013
sto-3g,without_edge_01,0.8999999999999999,1.9999999999999996,-1.4123815151175894
sto-3g,full,0.8999999999999999,2.0999999999999996,-1.7293443320899726
sto-3g,one_electron_cross_deleted,0.8999999999999999,2.0999999999999996,-0.9467899016994346
sto-3g,without_edge_01,0.8999999999999999,2.0999999999999996,-1.4083107982317555
sto-3g,full,0.8999999999999999,2.1999999999999997,-1.7254057166788384
sto-3g,one_electron_cross_deleted,0.8999999999999999,2.1999999999999997,-0.9495852645707439
sto-3g,without_edge_01,0.8999999999999999,2.1999999999999997,-1.4050931867543999
sto-3g,full,0.8999999999999999,2.3,-1.7216527483060795
sto-3g,one_electron_cross_deleted,0.8999999999999999,2.3,-0.9515386682630349
sto-3g,without_edge_01,0.8999999999999999,2.3,-1.4025670099149243
sto-3g,full,0.8999999999999999,2.3999999999999995,-1.718166843741515
sto-3g,one_electron_cross_deleted,0.8999999999999999,2.3999999999999995,-0.9528807987060284
