training_seed,architecture,transition,model_weight_hash,heldout_both_correct,task_competent,untrained_component_norm,component_norm,component_a_norm,component_b_norm,component_bilateral_support,next_component_norm,transported_norm,transport_fraction,transport_percentile,probability_response,probability_response_percentile,erase_cross_entropy_increase,exchange_cross_entropy_increase,bilateral_fraction,reconstruction_error
8003,directional_relay,5_to_6,624c86213a07938c15179b3b63d331eeae71d27ad9af8d118174baf045cd8c7e,1.0,True,0.0001517563995645498,0.06604049253722559,0.0647294697358419,0.060157043203213856,1.0,0.10246164026170074,0.036713976726554375,0.3583192366702501,0.0,4.1976785191571505e-09,0.0,-2.2157430196540816e-09,6.86446957863708e-10,0.789306640625,2.220446049250313e-16
8003,directional_relay,6_to_7,624c86213a07938c15179b3b63d331eeae71d27ad9af8d118174baf045cd8c7e,1.0,True,0.0001517563995645498,0.10246164026170074,0.11754884755481833,0.07952112255578647,1.0,0.15017351992176659,0.05826303386183944,0.3879714206085851,1.0,7.337025078555833e-09,0.0,5.80608803511843e-10,1.6147899019946558e-08,0.876708984375,2.220446049250313e-16
8003,four_channel_crossbar,4_to_5,f0c70f51d1d53ce4002a1f051a626a537f725a2bfcf43281ad9a81fd12c7c935,1.0,True,9.788675242104346e-05,0.05008799490884776,0.056578969436231176,0.03416688202276834,1.0,0.09185175015682803,0.024977083584062046,0.27192822718583015,0.0,2.190826357585356e-07,0.0,2.1947646700896335e-07,1.9315798923718328e-07,0.9638671875,3.3306690738754696e-16
8003,four_channel_crossbar,5_to_6,f0c70f51d1d53ce4002a1f051a626a537f725a2bfcf43281ad9a81fd12c7c935,1.0,True,9.788675242104346e-05,0.09185175015682803,0.08034404344928275,0.09042184001079381,1.0,0.1456420998182264,0.057511999994952594,0.394885819874421,1.0,4.0422843686487904e-07,0.0,2.696103642246372e-07,3.862278166694719e-06,0.99853515625,3.3306690738754696e-16
8003,four_channel_crossbar,6_to_7,f0c70f51d1d53ce4002a1f051a626a537f725a2bfcf43281ad9a81fd12c7c935,1.0,True,9.788675242104346e-05,0.1456420998182264,0.10529352354870278,0.16634721606830732,1.0,0.1802627778235171,0.11169311040766083,0.619612721806672,1.0,1.245548108492834e-06,0.0,1.481394758480799e-06,1.359710670771567e-05,0.99853515625,3.3306690738754696e-16
8003,dual_independent_relay,4_to_5,4c721c0d5578445f885bb1f6fa3e35ea84cf2713c85c98469a7e30ae72f85e6d,1.0,True,9.012406054304221e-21,1.9352802197603025e-17,2.7368995337774035e-17,0.0,0.0,2.5554293313138963e-17,2.274774351488725e-17,2.2747743514887253e-05,1.0,2.430650842941465e-23,1.0,0.0,0.0,0.0,2.220446049250313e-16
8003,dual_independent_relay,5_to_6,4c721c0d5578445f885bb1f6fa3e35ea84cf2713c85c98469a7e30ae72f85e6d,1.0,True,9.012406054304221e-21,2.5554293313138963e-17,3.613922818030122e-17,0.0,0.0,2.524201643931688e-17,2.1233935257582446e-17,2.1233935257582447e-05,0.0,3.122068283343049e-23,0.96875,0.0,0.0,0.0,2.220446049250313e-16
8003,dual_independent_relay,6_to_7,4c721c0d5578445f885bb1f6fa3e35ea84cf2713c85c98469a7e30ae72f85e6d,1.0,True,9.012406054304221e-21,2.524201643931688e-17,3.569760199012656e-17,0.0,0.0,2.712329947070736e-17,2.2900502782121363e-17,2.2900502782121364e-05,0.46875,2.425050140877304e-23,0.0,0.0,0.0,0.0,2.220446049250313e-16
8004,distributed,4_to_5,96a8fbb863996b9e896cfa114d94e00f765c2fae6b9e99645d8470ab905bf8ff,1.0,True,0.00016014997600035888,0.09092133873495661,0.09008072003613019,0.08670687954285906,1.0,0.16169038744635444,0.07550760859500506,0.4669888531255882,0.0,4.724829079836861e-07,0.0,2.0623355064812333e-07,2.8484001508907835e-06,0.979736328125,2.7755575615628914e-16
8004,distributed,5_to_6,96a8fbb863996b9e896cfa114d94e00f765c2fae6b9e99645d8470ab905bf8ff,1.0,True,0.00016014997600035888,0.16169038744635444,0.16015015043772668,0.15856937749856645,1.0,0.2300540477174775,0.12436370717061557,0.5405847382583023,1.0,1.5472152792229963e-06,0.0,1.4164218367716605e-06,7.384859317503229e-06,0.990234375,2.220446049250313e-16
8004,distributed,6_to_7,96a8fbb863996b9e896cfa114d94e00f765c2fae6b9e99645d8470ab905bf8ff,1.0,True,0.00016014997600035888,0.2300540477174775,0.23988901460616746,0.20736513295919076,1.0,0.2733859306119923,0.17647642995206558,0.6455212583800913,1.0,1.0946034144093665e-06,0.0,6.102652464847547e-07,0.00012204687153616807,0.99853515625,3.3306690738754696e-16
8004,central_shared,4_to_5,e82c9bbbc57a2dd867aa6db0a313ba7c5a39a2b1e3c4074e45212e03911b6607,0.999755859375,True,0.00019965896425586127,0.08938906561514119,0.11049379128343395,0.057548963102588946,1.0,0.13671475093870078,0.07805750679432459,0.5709516073311173,1.0,3.247913221583814e-05,0.0,4.0733973194096956e-05,0.00018235067128525973,0.99755859375,2.7755575615628914e-16
8004,central_shared,5_to_6,e82c9bbbc57a2dd867aa6db0a313ba7c5a39a2b1e3c4074e45212e03911b6607,0.999755859375,True,0.00019965896425586127,0.13671475093870078,0.15549339931699205,0.10933771932000985,1.0,0.17273986194796664,0.10392138295379237,0.601606263788123,0.0,3.6592164514824376e-05,0.0,4.145016621123315e-05,0.0002862714704694808,1.0,2.498001805406602e-16
