pair_id,family,reference_history,holonomy_history,phase_a_state_match,phase_a_joint_generation,phase_a_history_irreducibility,phase_a_intervention_sensitivity,phase_a_pair_specificity,phase_a_bilateral_feedback,phase_a_gauge_relative_error,phase_a_class2,phase_b_state_match,phase_b_joint_generation,phase_b_history_irreducibility,phase_b_intervention_sensitivity,phase_b_pair_specificity,phase_b_bilateral_feedback,phase_b_gauge_relative_error,phase_b_class2,z_C_history_distance,action_history_distance,A_return_distance,B_return_distance,erased_action_distance,no_feedback_A_distance,no_feedback_B_distance,phase_b_o3,generic_class2,generic_o3
P1020,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19858457479767755,0.0,0.21032720304383531,0.0,False,True,0.14318055291730564,0.14586969946984502,0.2131272388754183,0.0,0.22196099532767133,0.0,False,0.10191274602597514,0.10020760525138468,0.20358198586359016,0.2118223040914397,0.0,0.0,0.0,False,False,False
P1021,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2031092166571578,0.0,0.2164984290861138,0.0,False,True,0.14318055291730564,0.14586969946984502,0.20662413702097152,0.0,0.21181525849809194,0.0,False,0.10191274602597514,0.10020760525138468,0.2032188543427466,0.19951016729105997,0.0,0.0,0.0,False,False,False
P1022,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.2018456873266044,0.0,0.2080361817098435,1.3341705941488939e-16,False,True,0.14318055291730564,0.14586969946984502,0.2121277911915873,0.0,0.21554532700304813,0.0,False,0.10191274602597514,0.10020760525138468,0.229470422406306,0.189822196590692,0.0,0.0,0.0,False,False,False
P1023,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19571269750979248,0.0,0.21171226452983238,2.708602355860809e-16,False,True,0.14318055291730564,0.14586969946984502,0.1958930250575076,0.0,0.20986977408486227,1.4711473786810535e-16,False,0.10191274602597514,0.10020760525138468,0.21552245691580227,0.20417633708931926,0.0,0.0,0.0,False,False,False
P1024,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1931692086573943,0.0,0.18694492026595608,0.0,False,True,0.14318055291730564,0.14586969946984502,0.21630066990050345,0.0,0.21372403003042353,2.5412524607028996e-16,False,0.10191274602597514,0.10020760525138468,0.21552969276378697,0.21228605864253458,0.0,0.0,0.0,False,False,False
P1025,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19197101357395507,0.0,0.2102614474384294,1.7669302312364054e-16,False,True,0.14318055291730564,0.14586969946984502,0.20687671114762862,0.0,0.2132953181326015,0.0,False,0.10191274602597514,0.10020760525138468,0.20406663920091664,0.21444794030846287,0.0,0.0,0.0,False,False,False
P1026,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.19415317928428855,0.0,0.2060037741837268,0.0,False,True,0.14318055291730564,0.14586969946984502,0.21316118546838883,0.0,0.2135565296937611,1.4758057573069414e-16,False,0.10191274602597514,0.10020760525138468,0.22045260806055458,0.20431032544232408,0.0,0.0,0.0,False,False,False
P1027,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1901952124298431,0.0,0.21234481716371265,1.7669302312364054e-16,False,True,0.14318055291730564,0.14586969946984502,0.20643987385474932,0.0,0.18735607952126918,1.4150155064222086e-16,False,0.10191274602597514,0.10020760525138468,0.22498738878069605,0.18910455775614768,0.0,0.0,0.0,False,False,False
P1028,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.1773484508084578,0.0,0.21333044154840264,1.3010602431688793e-16,False,True,0.14318055291730564,0.14586969946984502,0.2118228190447783,0.0,0.22171290545604033,1.9027649824812795e-16,False,0.10191274602597514,0.10020760525138468,0.20853427726529725,0.20576993698515156,0.0,0.0,0.0,False,False,False
P1029,0,AABB,ABAB,True,0.1485802444691394,0.15708359687867818,0.18222386253924827,0.0,0.19625168372072285,1.7669302312364054e-16,False,True,0.14318055291730564,0.14586969946984502,0.20228633065767132,0.0,0.20974335643876504,0.0,False,0.10191274602597514,0.10020760525138468,0.21674382994987101,0.20915792353074783,0.0,0.0,0.0,False,False,False
